Timestamp,Price,LDP
1738325622,1829.37,7
1738325624,1828.94,4
1738325626,1828.84,4
1738325628,1828.85,5
1738325630,1829.13,3
1738325632,1828.4,0
1738325634,1828.36,6
1738325636,1827.66,6
1738325638,1828.24,4
1738325640,1827.8,0
1738325642,1828.11,1
1738325644,1828.37,7
1738325646,1829.19,9
1738325648,1829.43,3
1738325650,1829.87,7
1738325652,1829.63,3
1738325654,1829.93,3
1738325656,1829.76,6
1738325658,1829.48,8
1738325660,1829.12,2
1738325662,1829.09,9
1738325664,1828.89,9
1738325666,1828.24,4
1738325668,1828.3,0
1738325670,1827.92,2
1738325672,1828.3,0
1738325674,1828.82,2
1738325676,1828.81,1
1738325678,1828.53,3
1738325680,1828.99,9
1738325682,1829.28,8
1738325684,1829,0
1738325686,1828.69,9
1738325688,1828.89,9
1738325690,1828.48,8
1738325692,1828.1,0
1738325694,1828.91,1
1738325696,1829.41,1
1738325698,1829.18,8
1738325700,1829.19,9
1738325702,1829.55,5
1738325704,1829.44,4
1738325706,1828.84,4
1738325708,1828.6,0
1738325710,1828.72,2
1738325712,1828.92,2
1738325714,1829.38,8
1738325716,1828.98,8
1738325718,1829.61,1
1738325720,1830.04,4
1738325722,1830.42,2
1738325724,1830.1,0
1738325726,1830.19,9
1738325728,1829.7,0
1738325730,1830.05,5
1738325732,1830.11,1
1738325734,1829.54,4
1738325736,1829.91,1
1738325738,1830.3,0
1738325740,1830.25,5
1738325742,1830.21,1
1738325744,1829.99,9
1738325746,1829.63,3
1738325748,1830.71,1
1738325750,1830.79,9
1738325752,1830.75,5
1738325754,1830.52,2
1738325756,1831.03,3
1738325758,1831.56,6
1738325760,1831.56,6
1738325762,1831.27,7
1738325764,1831.43,3
1738325766,1831.97,7
1738325768,1831.56,6
1738325770,1831.66,6
1738325772,1831.68,8
1738325774,1831.23,3
1738325776,1831.25,5
1738325778,1831.54,4
1738325780,1831.89,9
1738325782,1831.85,5
1738325784,1832.25,5
1738325786,1832.43,3
1738325788,1832.5,0
1738325790,1831.56,6
1738325792,1832.02,2
1738325794,1832.03,3
1738325796,1831.87,7
1738325798,1832.07,7
1738325800,1832.81,1
1738325802,1833.5,0
1738325804,1832.84,4
1738325806,1833.14,4
1738325808,1833.37,7
1738325810,1832.46,6
1738325812,1832.48,8
1738325814,1832.19,9
1738325816,1832.14,4
1738325818,1832.25,5
1738325820,1831.76,6
1738325822,1831.58,8
1738325824,1831.4,0
1738325826,1831.4,0
1738325828,1831.24,4
1738325830,1831.41,1
1738325832,1832.09,9
1738325834,1831.85,5
1738325836,1832.19,9
1738325838,1832.28,8
1738325840,1832.66,6
1738325842,1832.92,2
1738325844,1833.38,8
1738325846,1833.4,0
1738325848,1832.48,8
1738325850,1831.91,1
1738325852,1831.59,9
1738325854,1831.55,5
1738325856,1831.39,9
1738325858,1830.94,4
1738325860,1830.78,8
1738325862,1830.4,0
1738325864,1830.58,8
1738325866,1830.78,8
1738325868,1830.5,0
1738325870,1830.19,9
1738325872,1829.67,7
1738325874,1829.54,4
1738325876,1828.95,5
1738325878,1829.28,8
1738325880,1828.88,8
1738325882,1829.37,7
1738325884,1829.1,0
1738325886,1828.92,2
1738325888,1828.49,9
1738325890,1829.22,2
1738325892,1829.49,9
1738325894,1829.85,5
1738325896,1829.66,6
1738325898,1828.71,1
1738325900,1828.87,7
1738325902,1829.15,5
1738325904,1829.9,0
1738325906,1829.39,9
1738325908,1830.57,7
1738325910,1830.88,8
1738325912,1830.56,6
1738325914,1830.1,0
1738325916,1830.01,1
1738325918,1829.26,6
1738325920,1828.82,2
1738325922,1829.18,8
1738325924,1829.25,5
1738325926,1829.27,7
1738325928,1828.29,9
1738325930,1828.07,7
1738325932,1828.53,3
1738325934,1828.6,0
1738325936,1828.51,1
1738325938,1828.66,6
1738325940,1828.74,4
1738325942,1829.57,7
1738325944,1829.63,3
1738325946,1829.5,0
1738325948,1830.25,5
1738325950,1829.78,8
1738325952,1829.59,9
1738325954,1830.03,3
1738325956,1830.28,8
1738325958,1830.34,4
1738325960,1830.05,5
1738325962,1830.07,7
1738325964,1830.05,5
1738325966,1830.31,1
1738325968,1829.32,2
1738325970,1828.74,4
1738325972,1828.52,2
1738325974,1828.74,4
1738325976,1828.26,6
1738325978,1828.36,6
1738325980,1828.97,7
1738325982,1828.92,2
1738325984,1828.61,1
1738325986,1828.53,3
1738325988,1827.48,8
1738325990,1827.23,3
1738325992,1827.5,0
1738325994,1828,0
1738325996,1827.67,7
1738325998,1827.89,9
1738326000,1828.6,0
1738326002,1827.52,2
1738326004,1827.13,3
1738326006,1827.75,5
1738326008,1828.02,2
1738326010,1827.91,1
1738326012,1828.84,4
1738326014,1829.07,7
1738326016,1829.46,6
1738326018,1828.76,6
1738326020,1829.53,3
1738326022,1828.52,2
1738326024,1828.52,2
1738326026,1828.29,9
1738326028,1828.3,0
1738326030,1827.49,9
1738326032,1827.36,6
1738326034,1828.02,2
1738326036,1827.78,8
1738326038,1827.66,6
1738326040,1827.77,7
1738326042,1827.61,1
1738326044,1827.79,9
1738326046,1827.42,2
1738326048,1827.93,3
1738326050,1828.29,9
1738326052,1828.31,1
1738326054,1828.23,3
1738326056,1828.38,8
1738326058,1828.41,1
1738326060,1828.4,0
1738326062,1828.52,2
1738326064,1828.18,8
1738326066,1828.82,2
1738326068,1828.75,5
1738326070,1828.71,1
1738326072,1828.68,8
1738326074,1829.1,0
1738326076,1829.47,7
1738326078,1829.45,5
1738326080,1829.85,5
1738326082,1829.8,0
1738326084,1829.42,2
1738326086,1828.55,5
1738326088,1828.48,8
1738326090,1828.54,4
1738326092,1828.15,5
1738326094,1828.01,1
1738326096,1827.79,9
1738326098,1827.2,0
1738326100,1826.62,2
1738326102,1826.41,1
1738326104,1825.88,8
1738326106,1826.74,4
1738326108,1826.39,9
1738326110,1826.03,3
1738326112,1826.4,0
1738326114,1826.24,4
1738326116,1826.31,1
1738326118,1826.48,8
1738326120,1826.49,9
1738326122,1826.11,1
1738326124,1826.38,8
1738326126,1826.9,0
1738326128,1826.92,2
1738326130,1827.54,4
1738326132,1827.79,9
1738326134,1827.76,6
1738326136,1827.53,3
1738326138,1827.91,1
1738326140,1827.32,2
1738326142,1827.55,5
1738326144,1827.75,5
1738326146,1828.26,6
1738326148,1828.52,2
1738326150,1827.8,0
1738326152,1827.81,1
1738326154,1827.99,9
1738326156,1827.53,3
1738326158,1827.05,5
1738326160,1827.14,4
1738326162,1827.18,8
1738326164,1826.98,8
1738326166,1826.57,7
1738326168,1826.31,1
1738326170,1826.06,6
